shear_rate_temporal,shear_strain_temporal,shear_stress_temporal,viscosity
-0.0009946252099999999,-2.8844645,-0.0010124803,1.0179516
-0.00099594673,-2.8877672000000003,-0.0010096141,1.013723
-0.00099722826,-2.8909697,-0.0010071229,1.0099221
-0.00099842908,-2.8939702,-0.0010053623,1.0069441
-0.00099951134,-2.896674,-0.0010045961,1.0050873
-0.0010004414,-2.8989968999999998,-0.0010049632,1.0045198
-0.001001191,-2.9008675999999998,-0.0010064586,1.0052614
-0.0010017379,-2.9022305,-0.0010089339,1.0071835999999998
-0.0010020667,-2.903047,-0.0010121141,1.0100266
-0.0010021694,-2.9032964,-0.0010156308,1.0134323
-0.0010020445,-2.9029762999999997,-0.0010190663,1.016987
-0.001001698,-2.9021019,-0.0010220030999999999,1.0202707
-0.0010011419,-2.9007047000000004,-0.0010240741999999999,1.0229061
-0.0010003944999999999,-2.898831,-0.0010250065,1.0246024
-0.0009994788900000002,-2.8965401,-0.0010246549000000001,1.0251892
-0.00099842294,-2.8939017000000002,-0.0010230207000000002,1.0246366
-0.00099725796,-2.8909943,-0.0010202535,1.0230588
-0.00099601807,-2.8879026000000003,-0.0010166355999999999,1.0206998999999999
-0.0009947393,-2.8847157,-0.0010125497,1.0179046
-0.00099345869,-2.8815246,-0.001008435,1.0150749
-0.00099221339,-2.8784210999999997,-0.0010047346000000002,1.0126195
-0.00099103974,-2.8754947,-0.0010018435,1.0109014
-0.00098997228,-2.8728311,-0.0010000609,1.0101908000000002
-0.00098904289,-2.8705098999999996,-0.00099955541,1.010629
-0.00098827983,-2.8686022,-0.0010003463000000001,1.0122095
-0.00098770689,-2.8671681,-0.0010023027,1.0147774999999999
-0.00098734258,-2.8662549,-0.0010051621,1.0180479
-0.0009871994500000002,-2.8658947999999995,-0.0010085631,1.0216406
-0.00098728353,-2.8661037,-0.0010120905,1.0251265
-0.00098759398,-2.8668796000000003,-0.0010153252,1.0280795
-0.00098812293,-2.8682029,-0.0010178933,1.0301281999999998
-0.0009888555300000001,-2.8700360000000003,-0.0010195103999999999,1.0310003
-0.00098977028,-2.8723248,-0.0010200141000000001,1.0305564
-0.0009908395900000001,-2.8749997000000005,-0.0010193822,1.0288065
-0.00099203051,-2.8779779999999997,-0.0010177351,1.025911
-0.0009933058199999999,-2.8811665,-0.0010153198,1.0221624
-0.0009946252099999999,-2.8844645,-0.0010124803,1.0179516
